n_agents,comparison,delta,welch_raw_p,welch_holm3_p,welch_holm_allpairs_p,mannwhitney_p,sig_holm3,sig_mwu
3,convergence: QMIX - GNN-QMIX,-2.5327086646513237,0.5606108576465304,1.0,1.0,0.9698499769931556,False,False
3,graph: GNN-QMIX - MLP-QMIX,1.9576373651221246,0.6443461220747209,1.0,1.0,0.8501067391385259,False,False
3,capacity: MLP-QMIX - QMIX,0.5750712995291991,0.8287252581475186,1.0,1.0,0.7913367801006604,False,False
6,convergence: QMIX - GNN-QMIX,6.15604863301229,0.405794961840688,0.405794961840688,0.405794961840688,0.3846730627355087,False,False
6,graph: GNN-QMIX - MLP-QMIX,-20.78023282339938,0.004674991176114915,0.014024973528344746,0.014988943335398104,0.009108496398030965,True,True
6,capacity: MLP-QMIX - QMIX,14.62418419038709,0.035187862023821216,0.07037572404764243,0.07037572404764243,0.04515456962427901,False,True
