a,b,metric_a,metric_b,stat,p_raw,p_holm,test
iql,vdn,-19.384239390734344,-21.508815124688898,3.3029995535365018,0.007346908591918683,0.029387634367674734,welch
iql,qmix,-19.384239390734344,-44.9011777794924,12.906218566756378,3.481881090049482e-07,2.437316763034637e-06,welch
iql,gnn_qmix,-19.384239390734344,-42.368469114841076,6.102568844153458,0.00017510170869373406,0.0010506102521624042,welch
iql,mlp_qmix,-19.384239390734344,-44.3261064799632,14.350054199902376,1.3001862909196313e-07,1.1701676618276682e-06,welch
vdn,qmix,-21.508815124688898,-44.9011777794924,11.34306514592038,2.578149644904748e-07,2.0625197159237985e-06,welch
vdn,gnn_qmix,-21.508815124688898,-42.368469114841076,5.472515485486293,0.000328205421056059,0.0016410271052802949,welch
vdn,mlp_qmix,-21.508815124688898,-44.3261064799632,12.438636563922804,6.39235845952636e-08,6.39235845952636e-07,welch
qmix,gnn_qmix,-44.9011777794924,-42.368469114841076,-0.5965617729309303,0.5606108576465304,1.0,welch
qmix,mlp_qmix,-44.9011777794924,-44.3261064799632,-0.21956033040313672,0.8287252581475186,1.0,welch
gnn_qmix,mlp_qmix,-42.368469114841076,-44.3261064799632,0.4729032672069301,0.6443461220747209,1.0,welch
