algo,n_seeds,final_mean,final_ci_lo,final_ci_hi,ep80_mean,ep80_ci_lo,ep80_ci_hi,ep80_n_reaching_threshold
iql,3,35.54333333333333,32.15746335250631,38.92920331416035,1371.6666666666667,1221.4978537770646,1521.8354795562689,3
vdn,3,65.03999999999999,53.38251049588885,76.69748950411113,1526.0,1450.9806862474907,1601.0193137525093,3
qmix,3,84.27333333333333,83.80129269454005,84.7453739721266,1421.6666666666667,1375.570458592028,1467.7628747413055,3
gnn_qmix,3,58.47,0.8829458844316349,116.05705411556836,1553.3333333333333,1446.3614676069656,1660.305199059701,3
