comparison,advantage,cohens_d,welch_p_holm,mwu_p,significant
gnn_true_vs_mlp,5.048177083333329,2.4610566485796,0.43570348059448205,0.1,False
gnn_true_vs_gcn_complete,3.9052083333333343,1.888210986719553,0.43570348059448205,0.1,False
gnn_true_vs_gat_complete,4.649348958333334,2.2982636338885563,0.43570348059448205,0.1,False
gnn_true_vs_dgn_complete,4.932031249999994,2.439691738157068,0.43570348059448205,0.1,False
gnn_true_vs_gat_true,4.4705729166666615,2.169160221916725,0.43570348059448205,0.1,False
