arm,n,mean,ci_lo,ci_hi
mlp,12,11.902916666666668,11.669140909141326,12.13669242419201
gnn_true,12,57.59277777777777,57.55150138142883,57.63405417412671
gnn_wrong,12,12.025,11.777896706712845,12.272103293287156
gnn_complete,12,24.496805555555554,24.183286118926006,24.8103249921851
