arm,n,mean,ci_lo,ci_hi
mlp,12,50.123263888888886,49.45309679626295,50.793430981514824
gnn_true,12,72.73940972222222,69.0617893898944,76.41703005455004
gnn_wrong,12,50.19913194444444,49.94386999005333,50.45439389883555
gnn_complete,12,50.19513888888889,49.75494680220599,50.63533097557179
