arm,algo,env_graph,obs,n_agents,seed,run_dir,final
gnn_complete,gnn_qmix,complete,ego,4,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed0,34.24375
gnn_complete,gnn_qmix,complete,ego,4,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed1,33.86666666666667
gnn_complete,gnn_qmix,complete,ego,4,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed2,35.364583333333336
gnn_complete,gnn_qmix,complete,ego,4,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed3,34.516666666666666
gnn_complete,gnn_qmix,complete,ego,4,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed4,32.68125
gnn_complete,gnn_qmix,complete,ego,4,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed5,32.6125
gnn_complete,gnn_qmix,complete,ego,4,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed6,32.797916666666666
gnn_complete,gnn_qmix,complete,ego,4,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed7,34.25
gnn_complete,gnn_qmix,complete,ego,4,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed8,33.733333333333334
gnn_complete,gnn_qmix,complete,ego,4,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed9,33.389583333333334
gnn_complete,gnn_qmix,complete,ego,4,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed10,33.635416666666664
gnn_complete,gnn_qmix,complete,ego,4,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_complete__ego__N4__seed11,35.65416666666667
gnn_true,gnn_qmix,matching,ego,4,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed0,44.0875
gnn_true,gnn_qmix,matching,ego,4,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed1,40.266666666666666
gnn_true,gnn_qmix,matching,ego,4,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed2,47.979166666666664
gnn_true,gnn_qmix,matching,ego,4,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed3,49.87083333333333
gnn_true,gnn_qmix,matching,ego,4,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed4,44.84583333333333
gnn_true,gnn_qmix,matching,ego,4,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed5,43.18541666666667
gnn_true,gnn_qmix,matching,ego,4,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed6,50.077083333333334
gnn_true,gnn_qmix,matching,ego,4,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed7,46.516666666666666
gnn_true,gnn_qmix,matching,ego,4,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed8,35.552083333333336
gnn_true,gnn_qmix,matching,ego,4,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed9,38.08541666666667
gnn_true,gnn_qmix,matching,ego,4,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed10,47.958333333333336
gnn_true,gnn_qmix,matching,ego,4,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_true__ego__N4__seed11,52.23125
gnn_wrong,gnn_qmix,matching_wrong,ego,4,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed0,33.87916666666667
gnn_wrong,gnn_qmix,matching_wrong,ego,4,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed1,32.5125
gnn_wrong,gnn_qmix,matching_wrong,ego,4,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed2,33.81458333333333
gnn_wrong,gnn_qmix,matching_wrong,ego,4,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed3,33.33958333333333
gnn_wrong,gnn_qmix,matching_wrong,ego,4,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed4,33.08541666666667
gnn_wrong,gnn_qmix,matching_wrong,ego,4,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed5,33.18125
gnn_wrong,gnn_qmix,matching_wrong,ego,4,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed6,32.235416666666666
gnn_wrong,gnn_qmix,matching_wrong,ego,4,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed7,32.48125
gnn_wrong,gnn_qmix,matching_wrong,ego,4,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed8,34.260416666666664
gnn_wrong,gnn_qmix,matching_wrong,ego,4,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed9,31.977083333333333
gnn_wrong,gnn_qmix,matching_wrong,ego,4,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed10,34.114583333333336
gnn_wrong,gnn_qmix,matching_wrong,ego,4,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\gnn_wrong__ego__N4__seed11,34.70625
mlp,mlp_qmix,matching,ego,4,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed0,33.670833333333334
mlp,mlp_qmix,matching,ego,4,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed1,33.05833333333333
mlp,mlp_qmix,matching,ego,4,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed2,33.483333333333334
mlp,mlp_qmix,matching,ego,4,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed3,32.010416666666664
mlp,mlp_qmix,matching,ego,4,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed4,33.47291666666667
mlp,mlp_qmix,matching,ego,4,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed5,33.09583333333333
mlp,mlp_qmix,matching,ego,4,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed6,32.604166666666664
mlp,mlp_qmix,matching,ego,4,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed7,33.39375
mlp,mlp_qmix,matching,ego,4,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed8,33.87083333333333
mlp,mlp_qmix,matching,ego,4,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed9,32.579166666666666
mlp,mlp_qmix,matching,ego,4,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed10,33.775
mlp,mlp_qmix,matching,ego,4,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N4_ego\mlp__ego__N4__seed11,33.99166666666667
