arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,final
gnn_wrong,gnn_qmix,skip_ring,nbr,core,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_wrong__nbr_N6_ego__seed4,50.321875
gnn_wrong,gnn_qmix,skip_ring,nbr,core,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_wrong__nbr_N6_ego__seed5,50.170833333333334
gnn_wrong,gnn_qmix,skip_ring,nbr,core,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_wrong__nbr_N6_ego__seed6,51.21041666666667
gnn_wrong,gnn_qmix,skip_ring,nbr,core,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_wrong__nbr_N6_ego__seed7,49.16354166666667
gnn_wrong,gnn_qmix,skip_ring,nbr,core,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_wrong__nbr_N6_ego__seed8,49.70625
gnn_wrong,gnn_qmix,skip_ring,nbr,core,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_wrong__nbr_N6_ego__seed9,48.973958333333336
gnn_wrong,gnn_qmix,skip_ring,nbr,core,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_wrong__nbr_N6_ego__seed10,50.16354166666667
gnn_wrong,gnn_qmix,skip_ring,nbr,core,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\gnn_wrong__nbr_N6_ego__seed11,50.578125
mlp,mlp_qmix,ring,nbr,core,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed0,50.325
mlp,mlp_qmix,ring,nbr,core,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed1,48.28125
mlp,mlp_qmix,ring,nbr,core,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed2,52.23229166666667
mlp,mlp_qmix,ring,nbr,core,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed3,50.65833333333333
mlp,mlp_qmix,ring,nbr,core,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed4,50.32395833333333
mlp,mlp_qmix,ring,nbr,core,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed5,50.24583333333333
mlp,mlp_qmix,ring,nbr,core,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed6,50.088541666666664
mlp,mlp_qmix,ring,nbr,core,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed7,50.380208333333336
mlp,mlp_qmix,ring,nbr,core,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed8,49.188541666666666
mlp,mlp_qmix,ring,nbr,core,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed9,49.901041666666664
mlp,mlp_qmix,ring,nbr,core,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed10,49.885416666666664
mlp,mlp_qmix,ring,nbr,core,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\nbr_N6_ego\mlp__nbr_N6_ego__seed11,51.23645833333333
