comparison,advantage,cohens_d,welch_p_holm,mwu_p,significant
gnn_true_vs_mlp,16.25295138888888,5.6212410443032494,2.983610802869842e-08,3.6584553538971e-05,True
gnn_true_vs_gcn_complete,15.158854166666664,5.114800366116591,2.983610802869842e-08,3.6584553538971e-05,True
gnn_true_vs_gat_complete,16.457986111111104,5.607652221311528,2.3194520528340807e-08,3.6584553538971e-05,True
gnn_true_vs_dgn_complete,16.009375,5.491386714554646,2.983610802869842e-08,3.6584553538971e-05,True
gnn_true_vs_gat_true,14.65208333333333,4.475265879784352,1.3170487377724625e-08,3.6584553538971e-05,True
