arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,final
gnn_wrong,gnn_qmix,matching_wrong,pair,core,full,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_wrong__pair_N6_full__seed6,50.889583333333334
gnn_wrong,gnn_qmix,matching_wrong,pair,core,full,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_wrong__pair_N6_full__seed7,49.77708333333333
gnn_wrong,gnn_qmix,matching_wrong,pair,core,full,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_wrong__pair_N6_full__seed8,50.1375
gnn_wrong,gnn_qmix,matching_wrong,pair,core,full,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_wrong__pair_N6_full__seed9,50.15625
gnn_wrong,gnn_qmix,matching_wrong,pair,core,full,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_wrong__pair_N6_full__seed10,50.475
gnn_wrong,gnn_qmix,matching_wrong,pair,core,full,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\gnn_wrong__pair_N6_full__seed11,50.141666666666666
mlp,mlp_qmix,matching,pair,core,full,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed0,50.15416666666667
mlp,mlp_qmix,matching,pair,core,full,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed1,49.12708333333333
mlp,mlp_qmix,matching,pair,core,full,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed2,52.802083333333336
mlp,mlp_qmix,matching,pair,core,full,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed3,49.90625
mlp,mlp_qmix,matching,pair,core,full,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed4,50.94583333333333
mlp,mlp_qmix,matching,pair,core,full,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed5,50.27708333333333
mlp,mlp_qmix,matching,pair,core,full,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed6,49.80416666666667
mlp,mlp_qmix,matching,pair,core,full,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed7,49.35208333333333
mlp,mlp_qmix,matching,pair,core,full,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed8,49.016666666666666
mlp,mlp_qmix,matching,pair,core,full,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed9,49.24583333333333
mlp,mlp_qmix,matching,pair,core,full,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed10,49.95
mlp,mlp_qmix,matching,pair,core,full,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_full\mlp__pair_N6_full__seed11,50.89791666666667
