arm,algo,env_graph,n_agents,seed,run_dir,steps,n_episodes,final
gnn_wrong,gnn_qmix,matching_wrong,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\gnn_wrong__token_N6__seed8,30000,3000,12.0
gnn_wrong,gnn_qmix,matching_wrong,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\gnn_wrong__token_N6__seed9,30000,3000,12.325
gnn_wrong,gnn_qmix,matching_wrong,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\gnn_wrong__token_N6__seed10,30000,3000,11.666666666666666
gnn_wrong,gnn_qmix,matching_wrong,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\gnn_wrong__token_N6__seed11,30000,3000,11.206666666666667
mlp,mlp_qmix,matching,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed0,30000,3000,12.39
mlp,mlp_qmix,matching,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed1,30000,3000,12.645
mlp,mlp_qmix,matching,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed2,30000,3000,11.536666666666667
mlp,mlp_qmix,matching,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed3,30000,3000,11.771666666666667
mlp,mlp_qmix,matching,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed4,30000,3000,11.775
mlp,mlp_qmix,matching,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed5,30000,3000,11.681666666666667
mlp,mlp_qmix,matching,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed6,30000,3000,11.921666666666667
mlp,mlp_qmix,matching,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed7,30000,3000,11.27
mlp,mlp_qmix,matching,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed8,30000,3000,12.005
mlp,mlp_qmix,matching,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed9,30000,3000,12.158333333333333
mlp,mlp_qmix,matching,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed10,30000,3000,11.836666666666666
mlp,mlp_qmix,matching,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseD\token_N6\mlp__token_N6__seed11,30000,3000,11.843333333333334
