arm,n,mean,ci_lo,ci_hi
mlp,12,49.85069444444445,49.32545610540268,50.37593278348622
gnn_true,12,66.10364583333333,63.55927904353447,68.6480126231322
gcn_complete,12,50.94479166666667,50.15864394782217,51.730939385511164
gat_complete,12,49.64565972222223,48.95224017938323,50.33907926506122
dgn_complete,12,50.09427083333333,49.471000702553056,50.71754096411361
gat_true,12,51.4515625,49.9748299844459,52.928295015554106
