arm,n,mean,ci_lo,ci_hi
mlp,12,33.25052083333333,32.868471309500826,33.63257035716584
gnn_true,12,45.0546875,41.81882134796398,48.29055365203602
gnn_wrong,12,33.29895833333334,32.74375313693672,33.85416352972996
gnn_complete,12,33.89548611111112,33.2729589142074,34.51801330801484
