arm,algo,env_graph,obs,n_agents,seed,run_dir,final
mlp,mlp_qmix,matching,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed1,49.2125
mlp,mlp_qmix,matching,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed2,50.802083333333336
mlp,mlp_qmix,matching,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed3,51.28958333333333
mlp,mlp_qmix,matching,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed4,50.59791666666667
mlp,mlp_qmix,matching,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed5,49.3375
mlp,mlp_qmix,matching,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed6,48.916666666666664
mlp,mlp_qmix,matching,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed7,48.797916666666666
mlp,mlp_qmix,matching,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed8,48.92916666666667
mlp,mlp_qmix,matching,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed9,49.7875
mlp,mlp_qmix,matching,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed10,50.35625
mlp,mlp_qmix,matching,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\N6_ego\mlp__ego__N6__seed11,50.322916666666664
