arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,final
gat_true,gat_qmix,matching,pair,attention,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed8,57.39375
gat_true,gat_qmix,matching,pair,attention,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed9,52.03958333333333
gat_true,gat_qmix,matching,pair,attention,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed10,49.7375
gat_true,gat_qmix,matching,pair,attention,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed11,53.34791666666667
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed0,50.5625
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed1,52.577083333333334
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed2,52.641666666666666
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed3,50.61666666666667
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed4,51.89791666666667
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed5,50.97708333333333
