a,b,metric_a,metric_b,stat,p_raw,p_holm,test
iql,vdn,113.01499999999999,141.82316666666668,-3.2116735862124526,0.005576886994513932,0.02788443497256966,welch
iql,qmix,113.01499999999999,164.9185,-9.045099432382932,2.417775726668462e-07,2.4177757266684617e-06,welch
iql,gnn_qmix,113.01499999999999,78.29366666666667,3.1660370550205075,0.007236996096298463,0.028947984385193852,welch
iql,mlp_qmix,113.01499999999999,164.91933333333333,-10.247506507416785,1.4896222063233618e-06,1.3406599856910256e-05,welch
vdn,qmix,141.82316666666668,164.9185,-2.8807788442821334,0.01419829816198909,0.03901037000481772,welch
vdn,gnn_qmix,141.82316666666668,78.29366666666667,5.159446224531826,8.097074948171945e-05,0.0004858244968903167,welch
vdn,mlp_qmix,141.82316666666668,164.91933333333333,-3.0591661889260457,0.013003456668272573,0.03901037000481772,welch
qmix,gnn_qmix,164.9185,78.29366666666667,8.49074890978943,4.850002839358658e-06,3.8800022714869266e-05,welch
qmix,mlp_qmix,164.9185,164.91933333333333,-0.0002707957306919391,0.9997886489163661,0.9997886489163661,welch
gnn_qmix,mlp_qmix,78.29366666666667,164.91933333333333,-8.803996205847133,8.797632497740984e-06,6.15834274841869e-05,welch
