n_agents,comparison,delta,cohen_d,welch_raw_p,welch_holm_p,mannwhitney_p,sig_holm,sig_mwu
4,attention-graph: GAT-QMIX - MLP-QMIX,-7.831000000000017,-2.0121976038019573,0.0010616407020189312,0.0031849221060567937,0.00043963875262656465,True,True
4,attention-vs-GCN: GAT-QMIX - GNN-QMIX,2.7686666666666753,0.5626740979035179,0.22484118036782597,0.22484118036782597,0.21212191786139534,False,False
4,net: GAT-QMIX - QMIX,-7.3713333333333395,-1.8440107814548405,0.0015892521622661111,0.0031849221060567937,0.0005828399431792745,True,True
8,attention-graph: GAT-QMIX - MLP-QMIX,-54.781833333333324,-5.483115376122094,2.2862889513099973e-07,4.5725779026199945e-07,0.00018267179110955002,True,True
8,attention-vs-GCN: GAT-QMIX - GNN-QMIX,31.843833333333336,1.3304108937276624,0.011222496349405411,0.011222496349405411,0.025748080821108073,True,True
8,net: GAT-QMIX - QMIX,-54.78099999999999,-4.6942229841174115,1.7101537026966083e-08,5.130461108089825e-08,0.00018267179110955002,True,True
