a,b,metric_a,metric_b,stat,p_raw,p_holm,test
iql,vdn,63.334833333333336,74.626,-6.922739697087061,1.7664017629089055e-05,0.00014131214103271244,welch
iql,qmix,63.334833333333336,82.95133333333334,-22.878671484059353,9.377133732421556e-15,8.4394203591794e-14,welch
iql,gnn_qmix,63.334833333333336,72.81133333333332,-6.140626975577742,4.7818332562689134e-05,0.00023909166281344565,welch
iql,mlp_qmix,63.334833333333336,83.41100000000002,-26.628667014864956,3.955386936438562e-15,3.955386936438562e-14,welch
vdn,qmix,74.626,82.95133333333334,-5.0951895921593735,0.0002750360306095733,0.0008251080918287199,welch
vdn,gnn_qmix,74.626,72.81133333333332,0.8734587160985893,0.39396433787923246,0.7879286757584649,welch
vdn,mlp_qmix,74.626,83.41100000000002,-5.552707270883208,0.0001970022893019027,0.0007880091572076107,welch
qmix,gnn_qmix,82.95133333333334,72.81133333333332,6.557391456826936,2.4825992016582822e-05,0.0001514003848772007,welch
qmix,mlp_qmix,82.95133333333334,83.41100000000002,-0.6046205059176817,0.5535982212846671,0.7879286757584649,welch
gnn_qmix,mlp_qmix,72.81133333333332,83.41100000000002,-7.1069272866265365,2.162862641102867e-05,0.0001514003848772007,welch
