algo,n_agents,n,final_mean,final_std,best_mean
gnn_qmix,3,5,-29.867539199557832,5.083842484171742,-25.197612623620618
gnn_qmix,6,5,-49.910563314048865,11.343326580922696,-42.082316951872244
iql,3,5,-34.18052514600805,4.37933919701014,-28.266457472534796
iql,6,5,-56.707902950034885,13.062038894365662,-45.9072225971363
qmix,3,5,-35.226176168046585,8.766294510622597,-26.205973691731863
qmix,6,5,-51.92795270185652,10.36102727872142,-46.01615003056423
vdn,3,5,-30.819934728173404,5.085897408797924,-25.431821083566092
vdn,6,5,-44.74294656205062,4.759700192809961,-42.02088539757876
