algo,seeds,final_success_rate_mean,final_success_rate_std,peak_success_rate_mean,peak_success_rate_std,post_peak_drop_mean,stability_step_change,final_eval_return_mean,final_episode_length,ep_to_succ_50pct,ep_to_succ_70pct,n_evals
iql,3,0.16499999999999998,0.13954290459289653,0.75,0.050000000000000044,0.5722222222222223,0.10769230769230767,0.6977333333333332,17.435,100.0,,14
vdn,3,0.145,0.08959786703810409,0.5666666666666668,0.1755942292142123,0.4222222222222222,0.1,0.5075999999999999,17.865000000000002,150.0,,12
qmix,3,0.005555555555555556,0.01666666666666667,0.03333333333333333,0.02886751345948129,0.03333333333333333,0.009259259259259259,-0.12020370370370374,19.927777777777777,,,10
gnn_qmix,3,0.0,0.0,0.05000000000000001,0.05,0.05000000000000001,0.012962962962962963,-0.1289814814814815,20.0,,,10
