arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,steps,n_episodes,final
gat_true,gat_qmix,matching,pair,attention,ego,6,0,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed0,150000,6000,102.44791666666667
gat_true,gat_qmix,matching,pair,attention,ego,6,1,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed1,150000,6000,98.30916666666667
gat_true,gat_qmix,matching,pair,attention,ego,6,2,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed2,150000,6000,89.76125
gat_true,gat_qmix,matching,pair,attention,ego,6,3,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed3,150000,6000,95.21791666666667
gat_true,gat_qmix,matching,pair,attention,ego,6,4,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed4,150000,6000,87.14125
gat_true,gat_qmix,matching,pair,attention,ego,6,5,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed5,150000,6000,101.98166666666667
gat_true,gat_qmix,matching,pair,attention,ego,6,6,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed6,150000,6000,99.32375
gat_true,gat_qmix,matching,pair,attention,ego,6,7,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed7,150000,6000,98.91375
gat_true,gat_qmix,matching,pair,attention,ego,6,8,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed8,150000,6000,100.25333333333333
gat_true,gat_qmix,matching,pair,attention,ego,6,9,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed9,150000,6000,100.8975
gat_true,gat_qmix,matching,pair,attention,ego,6,10,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed10,150000,6000,89.63541666666667
gat_true,gat_qmix,matching,pair,attention,ego,6,11,results\phaseC_150k\pair_N6_ego_attention\gat_true__pair_N6_ego_attention__seed11,150000,6000,96.69208333333333
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,0,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed0,150000,6000,50.50375
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,1,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed1,150000,6000,51.0725
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,2,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed2,150000,6000,49.81625
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,3,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed3,150000,6000,50.14041666666667
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,4,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed4,150000,6000,50.270833333333336
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,5,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed5,150000,6000,50.36125
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,6,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed6,150000,6000,51.093333333333334
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,7,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed7,150000,6000,50.759166666666665
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,8,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed8,150000,6000,52.005
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,9,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed9,150000,6000,50.89875
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,10,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed10,150000,6000,51.22875
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,11,results\phaseC_150k\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed11,150000,6000,50.45916666666667
gnn_true,gnn_qmix,matching,pair,attention,ego,6,0,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed0,150000,6000,92.7675
gnn_true,gnn_qmix,matching,pair,attention,ego,6,1,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed1,150000,6000,95.70125
gnn_true,gnn_qmix,matching,pair,attention,ego,6,2,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed2,150000,6000,87.03208333333333
gnn_true,gnn_qmix,matching,pair,attention,ego,6,3,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed3,150000,6000,90.90208333333334
gnn_true,gnn_qmix,matching,pair,attention,ego,6,4,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed4,150000,6000,97.5975
gnn_true,gnn_qmix,matching,pair,attention,ego,6,5,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed5,150000,6000,86.7125
gnn_true,gnn_qmix,matching,pair,attention,ego,6,6,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed6,150000,6000,96.91833333333334
