diameter,best_control,A,welch_p_holm,mwu_p,significant_positive,matched_minus_fixed_depth
1,qmix,-0.965833333333336,0.8307512024851114,0.3074894566186813,False,1.0637499999999989
3,mlp_qmix,-1.6600000000000001,1.0,0.6775849579524755,False,-0.9987500000000011
5,qmix,3.243750000000002,0.5996414150740439,0.27303633975118835,False,-2.318750000000005
