n_agents,n_seeds,delta_ring_mean,delta_er_mean,did_mean,did_std,h2_p_one_sided
4,3,-60.37222222222223,-78.07777777777778,17.70555555555556,3.7244531042726163,0.007215618737098364
8,3,-146.63888888888889,-128.97777777777776,-17.661111111111122,47.707643614616515,0.7064667812433683
