algo,n_seeds,final_mean,final_ci_lo,final_ci_hi,ep80_mean,ep80_ci_lo,ep80_ci_hi,ep80_n_reaching_threshold
iql,10,34.6225,32.60904792316766,36.635952076832346,1374.8,1311.0392634186442,1438.5607365813557,10
vdn,10,66.02349999999998,62.567038243956226,69.47996175604375,1527.8,1491.0245009426533,1564.5754990573466,10
qmix,10,84.015,83.4134854578944,84.6165145421056,1431.2,1415.542560183771,1446.857439816229,10
gnn_qmix,10,66.015,57.10742555157911,74.92257444842089,1551.6,1485.7282690939544,1617.4717309060454,10
