a,b,mean_a,mean_b,stat,p_raw,p_holm,test
iql,vdn,34.6225,66.02349999999998,-17.75787934124573,3.13018795808794e-11,1.56509397904397e-10,welch
iql,qmix,34.6225,84.015,-53.17146692155653,3.30637566805958e-14,1.9838254008357478e-13,welch
iql,gnn_qmix,34.6225,66.015,-7.7762209007229,1.583730961352541e-05,4.751192884057623e-05,welch
vdn,qmix,66.02349999999998,84.015,-11.60057952408795,6.117640078829126e-07,2.4470560315316505e-06,welch
vdn,gnn_qmix,66.02349999999998,66.015,0.002012450997570475,0.9984283459775097,0.9984283459775097,welch
qmix,gnn_qmix,84.015,66.015,4.5608717321134,0.0013330482740012708,0.0026660965480025415,welch
