arm,algo,graph,cell,task,suite,k,n_agents,seed,run_dir,steps,n_episodes,final
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed0,150000,6000,-97.82471871747016
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed1,150000,6000,-135.91899557062268
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed2,150000,6000,-141.27993760498873
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed3,150000,6000,-154.113606939119
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed4,150000,6000,-158.55078516140944
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed5,150000,6000,-65.50955187284568
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed6,150000,6000,-130.15714901102754
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed7,150000,6000,-95.77674228962647
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed8,150000,6000,-127.20378621298764
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed9,150000,6000,-118.09678673114725
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed10,150000,6000,-124.5262669179991
gnn_complete,gnn_qmix,complete,E1,mpe_reference_pairs,external_validity,3,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_complete__cellE1_N6_150000steps__seed11,150000,6000,-138.9782428278362
gnn_true,gnn_qmix,true,E1,mpe_reference_pairs,external_validity,3,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_true__cellE1_N6_150000steps__seed0,150000,6000,-134.14536707578867
gnn_true,gnn_qmix,true,E1,mpe_reference_pairs,external_validity,3,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_true__cellE1_N6_150000steps__seed1,150000,6000,-85.78118423675888
gnn_true,gnn_qmix,true,E1,mpe_reference_pairs,external_validity,3,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_true__cellE1_N6_150000steps__seed2,150000,6000,-148.30247241902538
gnn_true,gnn_qmix,true,E1,mpe_reference_pairs,external_validity,3,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseD_external\cellE1_N6_150000steps\gnn_true__cellE1_N6_150000steps__seed3,150000,6000,-130.75442481899134
