a,b,mean_a,mean_b,stat,p_raw,p_holm,test
iql,vdn,34.045,57.319166666666675,-15.422896777177016,2.5903597643606585e-11,2.5903597643606585e-11,welch
iql,qmix,34.045,82.52166666666668,-36.66148160806213,2.550202291742506e-18,1.5301213750455038e-17,welch
iql,gnn_qmix,34.045,7.050833333333334,27.911413363568133,7.209559483504899e-12,2.0568365633299202e-11,welch
vdn,qmix,57.319166666666675,82.52166666666668,-16.334859665207176,6.856121877766401e-12,2.0568365633299202e-11,welch
vdn,gnn_qmix,57.319166666666675,7.050833333333334,40.15212762202527,9.812814184747543e-13,3.925125673899017e-12,welch
qmix,gnn_qmix,82.52166666666668,7.050833333333334,74.05830179230253,2.2170316180600594e-16,1.1085158090300297e-15,welch
