a,b,mean_a,mean_b,stat,p_raw,p_holm,test
iql,vdn,40.100833333333334,70.53166666666667,-5.410476254023113,0.00011476311143013721,0.00022952622286027442,welch
iql,qmix,40.100833333333334,129.13166666666666,-6.997361341842545,4.3198277585211234e-05,0.0001295948327556337,welch
iql,gnn_qmix,40.100833333333334,19.5225,5.8389776591981715,1.5699378053145023e-05,6.279751221258009e-05,welch
vdn,qmix,70.53166666666667,129.13166666666666,-4.354034881021958,0.0009629457619794966,0.0009629457619794966,welch
vdn,gnn_qmix,70.53166666666667,19.5225,9.063748824913889,5.061937873175025e-07,3.0371627239050148e-06,welch
qmix,gnn_qmix,129.13166666666666,19.5225,8.613695470556623,7.402943789459963e-06,3.7014718947299814e-05,welch
