n_agents,graph,gnn_qmix_mean,qmix_mean,gap_mean,h1_p_one_sided
4,erdos_renyi,7.050833333333334,82.52166666666668,-75.47083333333335,0.9999999999999999
4,ring,34.755833333333335,83.29166666666666,-48.53583333333332,0.9999995540141539
8,erdos_renyi,9.176666666666666,108.78666666666668,-99.61000000000001,0.999994141411174
8,ring,19.5225,129.13166666666666,-109.60916666666665,0.9999962985281052
