n_agents,n_seeds,delta_ring_mean,delta_er_mean,did_mean,did_std,h2_p_one_sided
4,10,-48.53583333333333,-75.47083333333333,26.934999999999995,15.077546874511334,0.00015696207076388398
8,10,-109.60916666666667,-99.61000000000001,-9.999166666666666,57.72774763015285,0.7014066971746002
