algo,n_agents,graph,seed,final_window_mean,self_threshold_80pct,episodes_to_80pct_of_own,n_episodes
gnn_qmix,4,erdos_renyi,0,6.65,5.32,244,1200
gnn_qmix,4,erdos_renyi,1,8.366666666666667,6.693333333333334,630,1200
gnn_qmix,4,erdos_renyi,2,5.85,4.68,431,1200
gnn_qmix,4,erdos_renyi,3,8.125,6.5,769,1200
gnn_qmix,4,erdos_renyi,4,7.025,5.620000000000001,410,1200
gnn_qmix,4,erdos_renyi,5,4.925,3.94,48,1200
gnn_qmix,4,erdos_renyi,6,7.216666666666667,5.773333333333333,388,1200
gnn_qmix,4,erdos_renyi,7,6.95,5.5600000000000005,365,1200
gnn_qmix,4,erdos_renyi,8,8.058333333333334,6.446666666666667,752,1200
gnn_qmix,4,erdos_renyi,9,7.341666666666667,5.873333333333334,231,1200
iql,4,erdos_renyi,0,37.13333333333333,29.706666666666667,807,1200
iql,4,erdos_renyi,1,32.74166666666667,26.193333333333335,748,1200
iql,4,erdos_renyi,2,31.925,25.540000000000003,783,1200
iql,4,erdos_renyi,3,35.125,28.1,765,1200
iql,4,erdos_renyi,4,35.05,28.04,775,1200
iql,4,erdos_renyi,5,39.708333333333336,31.76666666666667,813,1200
iql,4,erdos_renyi,6,34.725,27.78,796,1200
iql,4,erdos_renyi,7,31.383333333333333,25.10666666666667,872,1200
iql,4,erdos_renyi,8,30.391666666666666,24.313333333333333,740,1200
iql,4,erdos_renyi,9,32.266666666666666,25.813333333333333,752,1200
qmix,4,erdos_renyi,0,84.55,67.64,814,1200
qmix,4,erdos_renyi,1,79.15833333333333,63.32666666666667,973,1200
qmix,4,erdos_renyi,2,85.48333333333333,68.38666666666667,891,1200
qmix,4,erdos_renyi,3,78.45833333333333,62.766666666666666,866,1200
qmix,4,erdos_renyi,4,82.59166666666667,66.07333333333334,829,1200
qmix,4,erdos_renyi,5,84.925,67.94,865,1200
qmix,4,erdos_renyi,6,85.10833333333333,68.08666666666667,870,1200
qmix,4,erdos_renyi,7,83.94166666666666,67.15333333333334,841,1200
qmix,4,erdos_renyi,8,77.34166666666667,61.873333333333335,934,1200
qmix,4,erdos_renyi,9,83.65833333333333,66.92666666666666,845,1200
vdn,4,erdos_renyi,0,59.85,47.88,926,1200
vdn,4,erdos_renyi,1,61.791666666666664,49.43333333333334,818,1200
vdn,4,erdos_renyi,2,60.425,48.34,952,1200
vdn,4,erdos_renyi,3,57.416666666666664,45.93333333333334,909,1200
vdn,4,erdos_renyi,4,54.6,43.68000000000001,935,1200
vdn,4,erdos_renyi,5,55.06666666666667,44.05333333333334,913,1200
vdn,4,erdos_renyi,6,61.725,49.38,1000,1200
vdn,4,erdos_renyi,7,49.7,39.760000000000005,885,1200
vdn,4,erdos_renyi,8,55.108333333333334,44.08666666666667,902,1200
vdn,4,erdos_renyi,9,57.50833333333333,46.00666666666667,899,1200
gnn_qmix,4,ring,0,22.575,18.06,888,1200
gnn_qmix,4,ring,1,18.066666666666666,14.453333333333333,998,1200
gnn_qmix,4,ring,2,32.975,26.380000000000003,933,1200
gnn_qmix,4,ring,3,26.566666666666666,21.253333333333334,952,1200
gnn_qmix,4,ring,4,55.56666666666667,44.45333333333334,1063,1200
gnn_qmix,4,ring,5,46.416666666666664,37.13333333333333,1016,1200
gnn_qmix,4,ring,6,19.533333333333335,15.626666666666669,923,1200
gnn_qmix,4,ring,7,44.05833333333333,35.24666666666666,1000,1200
gnn_qmix,4,ring,8,51.6,41.28,963,1200
gnn_qmix,4,ring,9,30.2,24.16,1003,1200
iql,4,ring,0,30.091666666666665,24.073333333333334,743,1200
iql,4,ring,1,33.00833333333333,26.406666666666666,815,1200
iql,4,ring,2,28.683333333333334,22.94666666666667,666,1200
iql,4,ring,3,31.483333333333334,25.186666666666667,790,1200
iql,4,ring,4,26.791666666666668,21.433333333333337,744,1200
iql,4,ring,5,29.15,23.32,691,1200
iql,4,ring,6,26.4,21.12,710,1200
iql,4,ring,7,27.216666666666665,21.773333333333333,765,1200
iql,4,ring,8,30.466666666666665,24.373333333333335,835,1200
iql,4,ring,9,25.291666666666668,20.233333333333334,688,1200
qmix,4,ring,0,82.95833333333333,66.36666666666666,851,1200
qmix,4,ring,1,83.85,67.08,898,1200
qmix,4,ring,2,83.79166666666667,67.03333333333335,854,1200
qmix,4,ring,3,85.0,68.0,859,1200
qmix,4,ring,4,84.69166666666666,67.75333333333333,860,1200
qmix,4,ring,5,84.3,67.44,886,1200
qmix,4,ring,6,84.35,67.48,866,1200
qmix,4,ring,7,83.90833333333333,67.12666666666667,853,1200
qmix,4,ring,8,76.05833333333334,60.84666666666667,983,1200
qmix,4,ring,9,84.00833333333334,67.20666666666668,848,1200
vdn,4,ring,0,58.3,46.64,857,1200
vdn,4,ring,1,47.45,37.96,883,1200
vdn,4,ring,2,49.45,39.56,942,1200
vdn,4,ring,3,63.24166666666667,50.593333333333334,985,1200
vdn,4,ring,4,54.85,43.88,951,1200
vdn,4,ring,5,67.99166666666666,54.39333333333333,966,1200
vdn,4,ring,6,44.13333333333333,35.306666666666665,868,1200
vdn,4,ring,7,44.38333333333333,35.50666666666667,911,1200
vdn,4,ring,8,50.766666666666666,40.61333333333334,948,1200
vdn,4,ring,9,45.825,36.660000000000004,878,1200
gnn_qmix,8,erdos_renyi,0,7.591666666666667,6.073333333333334,24,1200
gnn_qmix,8,erdos_renyi,1,9.7,7.76,36,1200
gnn_qmix,8,erdos_renyi,2,8.625,6.9,24,1200
gnn_qmix,8,erdos_renyi,3,9.258333333333333,7.406666666666666,24,1200
gnn_qmix,8,erdos_renyi,4,9.425,7.540000000000001,29,1200
gnn_qmix,8,erdos_renyi,5,8.725,6.98,24,1200
gnn_qmix,8,erdos_renyi,6,8.066666666666666,6.453333333333333,24,1200
gnn_qmix,8,erdos_renyi,7,11.783333333333333,9.426666666666668,161,1200
gnn_qmix,8,erdos_renyi,8,9.25,7.4,24,1200
gnn_qmix,8,erdos_renyi,9,9.341666666666667,7.473333333333334,29,1200
iql,8,erdos_renyi,0,45.725,36.580000000000005,870,1200
iql,8,erdos_renyi,1,49.05,39.24,803,1200
iql,8,erdos_renyi,2,38.625,30.900000000000002,747,1200
iql,8,erdos_renyi,3,43.733333333333334,34.98666666666667,800,1200
iql,8,erdos_renyi,4,45.166666666666664,36.13333333333333,747,1200
iql,8,erdos_renyi,5,47.333333333333336,37.86666666666667,853,1200
iql,8,erdos_renyi,6,40.56666666666667,32.45333333333334,772,1200
iql,8,erdos_renyi,7,36.416666666666664,29.133333333333333,797,1200
iql,8,erdos_renyi,8,43.733333333333334,34.98666666666667,715,1200
iql,8,erdos_renyi,9,42.24166666666667,33.79333333333334,844,1200
qmix,8,erdos_renyi,0,104.86666666666666,83.89333333333333,1048,1200
